city_name,city_source_name,county,fy2023_population,fy2023_payroll_rate,fy2023_net_profits_rate,fy2023_gross_receipts_rate,source_page
Adairville,Adairville,Logan,837,1.50%,1.50%,,1
Albany,Albany,Clinton,"1,760",,,,1
Alexandria,Alexandria,Campbell,"10,341",1.50%,,0.075%,1
Allen,Allen,Floyd,182,,,,1
Anchorage,Anchorage,Jefferson,"2,500",,,,1
Arlington,Arlington,Carlisle,264,,,,1
Ashland,Ashland,Boyd,"21,625",2.00%,2.00%,,1
Auburn,Auburn,Logan,"1,589",1.50%,,0.330%,1
Audubon Park,Audubon Park,Jefferson,"1,433",,,,1
Augusta,Augusta,Bracken,"1,096",1.25%,1.25%,,1
Bancroft,Bancroft,Jefferson,503,,,,1
Barbourmeade,Barbourmeade,Jefferson,"1,216",,,,1
Barbourville,Barbourville*,Knox,"3,222",1.00%,,,1
Bardstown,Bardstown,Nelson,"13,567",1.00%,1.00%,,1
Bardwell,Bardwell*,Carlisle,714,0.50%,,,1
Barlow,Barlow,Ballard,653,,,,1
Beattyville,Beattyville,Lee,"2,176",1.00%,,,1
Beaver Dam,Beaver Dam,Ohio,"3,531",,,,1
Bedford,Bedford,Trimble,526,,,,1
Beechwood Village,Beechwood Village,Jefferson,"1,280",,,,1
Bellefonte,Bellefonte,Greenup,920,,,,1
Bellemeade,Bellemeade,Jefferson,909,,,,1
Bellevue,Bellevue,Campbell,"5,548",2.50%,,Scale based on 12 different ranges,1
Bellewood,Bellewood,Jefferson,340,,,,1
Benham,Benham,Harlan,512,,,0.030%,1
Benton,Benton,Marshall,"4,756",0.50%,0.50%,,2
Berea,Berea,Madison,"15,539",2.00%,2.00%,,2
Berry,Berry,Harrison,250,,,,2
Bloomfield,Bloomfield,Nelson,961,,,,2
Blue Ridge Manor,Blue Ridge Manor,Jefferson,791,,,,2
Bonnieville,Bonnieville,Hart,269,,,,2
Booneville,Booneville,Owsley,168,,,,2
Bowling Green,Bowling Green,Warren,"72,294",2.00%,2.00%,,2
Bradfordsville,Bradfordsville,Marion,270,,,,2
Brandenburg,Brandenburg,Meade,"2,894",,,,2
Bremen,Bremen,Muhlenberg,172,,,,2
Briarwood,Briarwood,Jefferson,445,,,,2
Brodhead,Brodhead*,Rockcastle,"1,117",1.00%,,,2
Broeck Pointe,Broeck Pointe,Jefferson,245,,,,2
Bromley,Bromley,Kenton,724,1.00%,,0.0125%,2
Brooksville,Brooksville,Bracken,654,1.75%,,0.075%,2
Brownsboro Farm,Brownsboro Farm,Jefferson,640,,,,2
Brownsboro Village,Brownsboro Village,Jefferson,308,,,,2
Brownsville,Brownsville,Edmonson,875,1.00%,1.00%,,2
Buckhorn,Buckhorn,Perry,89,,,,2
Burgin,Burgin,Mercer,979,,,,2
Burkesville,Burkesville,Cumberland,"1,388",2.00%,2.00%,,2
Burnside,Burnside,Pulaski,694,,,,2
Butler,Butler,Pendleton,646,,,,2
Cadiz,Cadiz,Trigg,"2,540",1.90%,,Varies based on type of business,2
Calhoun,Calhoun,McLean,725,,,,2
California,California,Campbell,83,,,,2
Calvert City,Calvert City,Marshall,"2,514",0.50%,0.50%,,2
Camargo,Camargo,Montgomery,"1,020",2.00%,2.00%,,2
Cambridge,Cambridge,Jefferson,162,,,,3
Campbellsburg,Campbellsburg,Henry,836,,,,3
Campbellsville,Campbellsville*,Taylor,"11,426",1.00%,1.00%,,3
Campton,Campton,Wolfe,316,,,,3
Caneyville,Caneyville*,Grayson,529,$2/week PT; $1/week FT,,,3
Carlisle,Carlisle,Nicholas,"2,093",1.00%,1.00%,,3
Carrollton,Carrollton,Carroll,"3,890",,,,3
Carrsville,Carrsville,Livingston,48,,,,3
Catlettsburg,Catlettsburg,Boyd,"1,780",1.50%,1.50%,,3
Cave City,Cave City,Barren,"2,356",2.00%,1.00%,,3
Centertown,Centertown,Ohio,416,,,,3
Central City,Central City,Muhlenberg,"5,819",,,,3
Clarkson,Clarkson,Grayson,933,1.20%,,,3
Clay,Clay,Webster,"1,031",,,,3
Clay City,Clay City,Powell,"1,193",1.00%,,,3
Clinton,Clinton,Hickman,"1,222",0.50%,,,3
Cloverport,Cloverport,Breckinridge,"1,119",,,,3
Coal Run Village,Coal Run Village,Pike,"1,669",1.00%,1.00%,,3
Cold Spring,Cold Spring,Campbell,"6,216",1.00%,,Scale based on 12 different ranges,3
Coldstream,Coldstream,Jefferson,"1,295",,,,3
Columbia,Columbia,Adair,"4,845",1.00%,,,3
Columbus,Columbus,Hickman,140,,,,3
Concord,Concord,Lewis,19,,,,3
Corbin,Corbin,Whitley/Knox,"7,856",1.00%,1.00%,,3
Corinth,Corinth,Grant/Scott,226,,,,3
Corydon,Corydon,Henderson,737,,,,3
Covington,Covington,Kenton,"40,961",2.45%,2.50%,,3
Crab Orchard,Crab Orchard*,Lincoln,744,1.00%,,,3
Creekside,Creekside,Jefferson,305,,,,4
Crescent Springs,Crescent Springs,Kenton,"4,319",1.00%,,0.075%,4
Crestview,Crestview,Campbell,452,,,,4
Crestview Hills,Crestview Hills,Kenton,"3,246",1.15%,,0.75%,4
Crestwood,Crestwood,Oldham,"6,183",,,,4
Crittenden,Crittenden,Grant/Kenton,"4,023",,,,4
Crofton,Crofton,Christian,653,,,,4
Crossgate,Crossgate,Jefferson,221,,,,4
Cumberland,Cumberland,Harlan,"1,947",,,,4
Cynthiana,Cynthiana,Harrison,"6,333",1.50%,1.50%,,4
Danville,Danville,Boyle,"17,234",1.90%,1.75%,,4
Dawson Springs,Dawson Springs,Hopkins/Caldwell,"2,452",1.50%,"1.5% <$50,000 1% $50,000- $500,000 0.5% >$500,000",,4
Dayton,Dayton,Campbell,"5,666",2.50%,,Scale based on 20 different ranges,4
Dixon,Dixon,Webster,933,,,,4
Douglass Hills,Douglass Hills,Jefferson,"5,456",,,,4
Dover,Dover,Mason,221,,,,4
Drakesboro,Drakesboro,Muhlenberg,481,,,,4
Druid Hills,Druid Hills,Jefferson,299,,,,4
Dry Ridge,Dry Ridge,Grant,"2,102",1.25%,,,4
Earlington,Earlington,Hopkins,"1,257",1.50%,1.50%,,4
Eddyville,Eddyville,Lyon,"2,375",1.50%,,0.125%,4
Edgewood,Edgewood,Kenton,"8,435",1.00%,0.75%,,4
Edmonton,Edmonton*,Metcalfe,"1,671",1.50%,1.50%,,4
Ekron,Ekron,Meade,175,,,,4
Elizabethtown,Elizabethtown,Hardin,"31,394",1.95%,1.95%,,4
Elkhorn City,Elkhorn City*,Pike,"1,035",1.00%,,,4
Elkton,Elkton*,Todd,"2,056",2.00%,,0.125%,5
Elsmere,Elsmere,Kenton,"9,159",1.25%,1.00%,,5
Eminence,Eminence,Henry,"2,705",0.75%,0.75%,,5
Erlanger,Erlanger,Kenton,"19,611",1.50%,,0.075%,5
Eubank,Eubank,Pulaski/Lincoln,313,,,,5
Evarts,Evarts,Harlan,859,,,,5
Ewing,Ewing,Fleming,228,,,,5
Fairfield,Fairfield,Nelson,118,,,,5
Fairview,Fairview,Kenton,144,,,,5
Falmouth,Falmouth,Pendleton,"2,216",,,,5
Ferguson,Ferguson,Pulaski,886,,,,5
Fincastle,Fincastle,Jefferson,848,,,,5
Flatwoods,Flatwoods,Greenup,"7,325",,,,5
Fleming-Neon,Fleming-Neon,Letcher,548,,,,5
Flemingsburg,Flemingsburg,Fleming,"2,953",1.00%,1.00%,0.100%,5
Florence,Florence,Boone,"31,946",2.00%,,0.100%,5
Fordsville,Fordsville,Ohio,446,1.25%,,,5
Forest Hills,Forest Hills,Jefferson,438,,,,5
Fort Mitchell,Fort Mitchell,Kenton,"8,702",1.25%,,0.075%,5
Fort Thomas,Fort Thomas*,Campbell,"17,438",1.25%,1.25%,,5
Fort Wright,Fort Wright,Kenton,"5,851",0.99%,,0.075%,5
Fountain Run,Fountain Run,Monroe,216,1.00%,,,5
Fox Chase,Fox Chase,Bullitt,436,,,,5
Frankfort,Frankfort,Franklin,"28,602",1.95%,1.95%,,5
Franklin,Franklin,Simpson,"10,176",1.00%,,0.06% <$1 million 0.01% $1 million- $10 million 0.005% >$10 million,5
Fredonia,Fredonia,Caldwell,372,,,,5
Frenchburg,Frenchburg,Menifee,601,,,,5
Fulton,Fulton,Fulton,"2,357",2.00%,,,6
Gamaliel,Gamaliel*,Monroe,391,1.00%,1.00%,,6
Georgetown,Georgetown*,Scott,"37,086",1.00%,1.00%,,6
Germantown,Germantown,Bracken/Mason,146,,,,6
Ghent,Ghent,Carroll,363,,,,6
Glasgow,Glasgow,Barren,"15,014",1.75%,1.75%,,6
Glencoe,Glencoe,Gallatin,350,,,,6
Glenview,Glenview,Jefferson,596,,,,6
Glenview Hills,Glenview Hills,Jefferson,377,,,,6
Glenview Manor,Glenview Manor,Jefferson,206,,,,6
Goose Creek,Goose Creek,Jefferson,303,,,,6
Goshen,Goshen,Oldham,892,,,,6
Grand Rivers,Grand Rivers,Livingston,345,,,,6
Gratz,Gratz,Owen,67,,,,6
Graymoor-Devondale,Graymoor-Devondale,Jefferson,"2,853",,,,6
Grayson,Grayson,Carter,"3,834",1.00%,1.00%,,6
Green Spring,Green Spring,Jefferson,711,,,,6
Greensburg,Greensburg,Green,"2,179",1.50%,1.00%,,6
Greenup,Greenup*,Greenup,"1,095",1.00%,,,6
Greenville,Greenville,Muhlenberg,"4,492",,,,6
