EffStartDate,EffEndDate,JEDD_ID,Name,Rate
20030101,29991231,9001,ASHTABULA TOWNSHIP JEDD,1.8
20110101,29991231,9002,AUSTIN CENTER JEDD,2.25
20070101,29991231,9003,BAINBRIDGE-SOLON JEDD,2
20180101,29991231,9004,BATH-AKRON-FAIRLAWN JEDD,2.5
20110101,29991231,9005,BEACHWOOD EAST JEDZ,2
20110101,29991231,9006,BEACHWOOD WEST JEDZ,2
20110101,29991231,9007,BERKSHIRE TOWNSHIP JEDD,1.85
20120101,29991231,9008,BOSTON TOWNSHIP / PENINSULA JEDD,2
20140101,20211231,9009,BRIMFIELD-KENT JEDD,1.25
20220101,20241231,9009,BRIMFIELD-KENT JEDD,1.75
20250101,29991231,9009,BRIMFIELD-KENT JEDD,2
20150101,20211231,9010,BRIMFIELD-TALLMADGE JEDD,1.25
20220101,20241231,9010,BRIMFIELD-TALLMADGE JEDD,1.75
20250101,29991231,9010,BRIMFIELD-TALLMADGE JEDD,2
20060101,29991231,9011,BUTLER TOWNSHIP-VANDALIA JEDD,2
20161101,20191231,9012,CIRCLEVILLE PICKAWAY TOWNSHIP JEDD,2
20200101,29991231,9012,CIRCLEVILLE PICKAWAY TOWNSHIP JEDD,2.5
20040101,29991231,9013,CLAY TOWNSHIP-CITY OF CLAYTON JEDD,1.5
20180101,29991231,9014,COPLEY-AKRON JEDD,2.5
20180101,29991231,9015,COVENTRY-AKRON JEDD,2.5
20160701,29991231,9016,EATON NW PROFESSIONAL BUSINESS JEDD,2.25
20160701,29991231,9017,ELYRIA TOWNSHIP-CITY OF ELYRIA JEDD,2.25
20030101,29991231,9018,HAMILTON INDIAN SPRINGS JEDD I,2
20030101,29991231,9019,HAMILTON FAIRFIELD TOWNSHIP JEDD II,2
20000101,29991231,9020,HARRISON TOWNSHIP JEDD,1
20140101,29991231,9021,KENT-FRANKLIN JEDD,2
20130101,20211003,9022,LIBERTY TOWNSHIP-LIBERTY CENTER JEDD,1
20080101,29991231,9023,LIBERTY TOWNSHIP JEDD I,1.5
20170701,20181231,9024,MACEDONIA NORTHFIELD CENTER TOWNSHIP JEDD,2.25
20190101,29991231,9024,MACEDONIA NORTHFIELD CENTER TOWNSHIP JEDD,2.5
20040101,29991231,9025,MEDINA MONTVILLE JEDD,1.25
20110101,29991231,9026,DAYTON MALL JEDD,2.25
20070701,29991231,9027,UNION TOWNSHIP-MILFORD JEDD 1,1
20120501,29991231,9028,UNION TOWNSHIP-MILFORD JEDD 2,1
20130601,29991231,9029,UNION TOWNSHIP-MILFORD JEDD 3,1
20131001,29991231,9030,UNION TOWNSHIP-MILFORD JEDD 4,1
20081114,29991231,9031,NORTH PICKAWAY COUNTY JEDD,2.5
19990101,29991231,9032,ORANGE CHAGRIN HIGHLANDS JEDD,2
20120101,29991231,9033,CONCORD TOWNSHIP-PAINESVILLE JEDD,1.75
20000401,29991231,9034,PATASKALA CORPORATE PARK JEDD,1.75
20120101,29991231,9035,PERRY JEDD,1
20121001,29991231,9036,PRAIRIE TOWNSHIP JEDD,2.5
20030101,29991231,9037,REMINDERVILLE TWINSBURG TOWNSHIP JEDD,1.5
20170701,29991231,9038,RUSH TOWNSHIP UHRICHSVILLE JEDD,2
20130401,29991231,9039,SAYBROOK TOWNSHIP-DEPOT RD JEDD,1.8
20150101,29991231,9040,SCIOTO TOWNSHIP JEDD,2
20040101,29991231,9041,SPRINGFIELD BECKLEY MUNI AIRPARK JEDD,1
20180101,29991231,9042,SPRINGFIELD-AKRON JEDD,2.5
20150901,29991231,9043,WALTON HILLS-SAGAMORE HILLS TOWNSHIP JEDD,2.5
20090101,29991231,9044,WEST CHESTER JEDD 1,1
20060101,29991231,9045,BLENDON TOWNSHIP JEDZ,2
20120101,29991231,9046,BUTLER TOWNSHIP JEDZ,1
20140401,29991231,9047,CLINTON GRANDVIEW HEIGHTS JEDZ,2.5
20140401,29991231,9048,COLUMBIA TOWNSHIP JEDZ,1
20030101,29991231,9049,ETNA JEDZ1 - NORTH,1.75
20090101,29991231,9050,ETNA JEDZ2 - SOUTH,1.75
20030101,29991231,9051,HIGHLAND HILLS JEDZ,2.5
20030101,29991231,9052,HOLLAND SPRINGFIELD TOWNSHIP JEDZ,1.5
20140101,29991231,9053,MONCLOVA-MAUMEE-TOLEDO JEDZ,1.5
19930101,29991231,9054,PERRYSBURG TOWNSHIP TOLEDO JEDZ,1.5
20091001,29991231,9055,PRAIRIE OBETZ JEDZ,2.5
20140801,29991231,9056,SPRINGFIELD TOWNSHIP JEDZ I,1.5
20131001,29991231,9057,SYCAMORE TOWNSHIP KENWOOD-CENTRAL JEDZ,0.75
20131001,29991231,9058,SYCAMORE TOWNSHIP KENWOOD-EAST JEDZ,0.75
20131001,29991231,9059,SYCAMORE TOWNSHIP KENWOOD-NORTHWEST JEDZ,0.75
20131001,29991231,9060,SYCAMORE TOWNSHIP KENWOOD-SOUTHWEST JEDZ,0.75
20090701,29991231,9061,WARRENSVILLE HEIGHTS JEDZ,2.6
20030101,29991231,9062,YOUNGSTOWN GIRARD JEDZ,2.75
20090801,29991231,9064,LAKE TOWNSHIP-TOLEDO JEDD,2.25
20160101,29991231,9065,MONCLOVA-SWANTON-TOLEDO AIRPORT JEDD,1.5
20130801,29991231,9067,TROY TOWNSHIP-TOLEDO JEDD,2.25
19920201,20171230,9068,ROSSFORD-TOLEDO JEDZ,2.25
20080701,20171231,9069,SYLVANIA-TOLEDO JEDZ,1.5
20160101,29991231,9070,BUTLER COUNTY ANNEX,2
20170101,29991231,9071,EMERALD PARK,2.5
20170101,29991231,9072,GATEWAY,2.5
20170101,29991231,9073,IX CENTER,2.5
20170101,29991231,9074,SHAKER SQUARE,2.5
20160101,29991231,9075,MONCLOVA-WHITEHOUSE JEDD,1.5
20160101,29991231,9076,SPENCER-WHITEHOUSE JEDZ,1.5
20100630,29991231,9077,MADISON TOWNSHIP JEDD,2.5
20081201,29991231,9078,BARNESVILLE JEDD 1,1
20120618,29991231,9079,BARNESVILLE JEDD 2,1
20050701,20251231,9080,MIAMI TOWNSHIP-DAYTON JEDD,1.75
20260101,29991231,9080,MIAMI TOWNSHIP-DAYTON JEDD,2.25
20070101,29991231,9081,BUTLER TOWNSHIP-DAYTON JEDD,1.75
20170101,29991231,9082,HAMILTON FAIRFIELD TOWNSHIP JEDD III,2
20180101,29991231,9083,HARPERSFIELD-GENEVA JEDD I,1.5
20180101,29991231,9084,HARPERSFIELD-GENEVA JEDD II,1.5
20150501,29991231,9085,SAYBROOK TOWNSHIP-ROUTE 20 JEDD,1.8
20060101,29991231,9086,CUYAHOGA FALLS-BOSTON TOWNSHIP JEDD,2
20150701,29991231,9087,COSHOCTON-FRANKLIN JEDD,2
20150701,29991231,9088,COSHOCTON-TUSCARAWAS JEDD,2
20141204,29991231,9089,GREEN TOWNSHIP-HARRISON GREENE JEDD,1
20171215,29991231,9090,GREEN TOWNSHIP-UDF JEDD,1
20100827,29991231,9091,GREEN TOWNSHIP-WESTERN RIDGE JEDD,1
20180101,29991231,9092,HARPERSFIELD-GENEVA JEDD III,1.5
20130111,20231231,9093,LEBANON-TURTLECREEK JEDD,1
20240101,29991231,9093,LEBANON-TURTLECREEK JEDD,1.5
20060115,29991231,9094,LYTLE FIVE POINTS JEDD,1.5
20051024,29991231,9095,RICHFIELD JEDD,2
20180101,20191231,9096,TURTLECREEK-MONROE RACEWAY JEDD,0.7
20200101,29991231,9096,TURTLECREEK-MONROE RACEWAY JEDD,2
20110101,29991231,9097,XENIA TOWNSHIP-CITY OF XENIA JEDD 1,2.25
20130513,20230512,9098,GREEN TOWNSHIP-MERCY WEST JEDD,2
20230513,20230930,9098,GREEN TOWNSHIP-MERCY WEST JEDD,1
20231001,20230930,9098,GREEN TOWNSHIP-MERCY WEST JEDD,2
20231001,20280930,9098,GREEN TOWNSHIP-MERCY WEST JEDD,1.5
20140519,20140630,9099,SUGAR CREEK JEDD,1.75
20180101,29991231,9100,SPRINGFIELD TOWNSHIP JEDD 1,1.5
20170101,29991231,9101,GREEN TOWNSHIP-CHRIST CHILDRENS JEDD,1
20160506,29991231,9102,VILLAGE OF HIGHLAND HILLS MUNI UTILITY DISTRICT,2.5
20180101,29991231,9103,COLERAIN TOWNSHIP LIBERTY NURSING HC JEDD,2
20180101,29991231,9104,UNION TOWNSHIP-MILFORD JEDD 5,1
20170124,20180630,9105,JACKSON TWP-CANTON FP JEDD,2
20180701,29991231,9105,JACKSON TWP-CANTON FP JEDD,2.5
20161201,20180630,9106,JACKSON TWP-CANTON SM JEDD,2
20180701,29991231,9106,JACKSON TWP-CANTON SM JEDD,2.5
20110822,20180630,9107,JACKSON TWP-CANTON TWR JEDD,2
20180701,29991231,9107,JACKSON TWP-CANTON TWR JEDD,2.5
20180701,29991231,9108,WILLIAMSBURG JEDD,1
20181109,29991231,9109,JACKSON TWP-CANTON CD JEDD,2.5
20070101,29991231,9110,ZANESVILLE-NEWTON JEDD,1.9
20070101,29991231,9111,ZANESVILLE-SOUTH ZANESVILLE-SPRINGFIELD JEDD,1.9
20070101,29991231,9112,ZANESVILLE-WASHINGTON JEDD,1.9
20190401,29991231,9113,GREEN TOWNSHIP-MCALISTERS JEDD,1
20190801,29991231,9114,UNION TOWNSHIP-MILFORD JEDD 6,1
20180821,20180924,9115,ETNA-REYNOLDSBURG JEDD 1,1.5
20180925,29991231,9115,ETNA-REYNOLDSBURG JEDD 1,2
20180821,20180924,9116,ETNA-REYNOLDSBURG JEDD 2,1.5
20180925,29991231,9116,ETNA-REYNOLDSBURG JEDD 2,2
20180821,29991231,9117,ETNA-REYNOLDSBURG JEDD 3,2
20180930,29991231,9118,ETNA-REYNOLDSBURG JEDD 4,2
20191121,29991231,9119,JACKSON TWP-CANTON TSG JEDD,2.5
20200310,29991231,9120,JACKSON TWP-CANTON TGAB JEDD,2.5
20200101,29991231,9121,DORR ST JEDD,2
20210201,29991231,9122,UNION TOWNSHIP-MILFORD JEDD 7,1
20210101,20241119,9123,JEFFERSON TOWNSHIP-WHITEHALL JEDD,2.5
20210101,29991231,9124,SYLVANIA TOWNSHIP-SYLVANIA JEDD I,1.5
20200727,29991231,9125,EVANS FARM JEDD,1
20160101,29991231,9126,NORTON-BARBERTON JEDZ,2
20210831,29991231,9127,ETNA-REYNOLDSBURG JEDD 7,2
20211001,29991231,9128,SHARON TWP JEDD,2.5
20200518,20251231,9129,JEFFERSON TOWNSHIP-WASHINGTON COURT HOUSE JEDD,1.95
20260101,29991231,9129,JEFFERSON TOWNSHIP-WASHINGTON COURT HOUSE JEDD,1.75
20220801,29991231,9130,VALLEY VIEW JEDD,1.5
20230309,29991231,9131,PERRY-CANTON JEDD FAIRCREST,2.5
20220721,29991231,9132,VILLAGE OF BURTON-BURTON TWP JEDD,1
20221201,29991231,9133,SHALERSVILLE TWP JEDD,2
20200724,29991231,9134,NORTH BALTIMORE HENRY TOWNSHIP JEDD,1
20201228,29991231,9135,GREEN TOWNSHIP-HAMPTON INN JEDD,2
20180101,29991231,9136,TURTLECREEK MONROE 2022 JEDD,2
20221215,29991231,9137,FAIRFIELD JEDD,1.5
20200511,29991231,9138,DEER PARK SYCAMORE JEDD,0.75
20211001,29991231,9139,BERKSHIRE JEDD II,1.85
20231023,29991231,9140,VIOLET TWP CANAL WINCHESTER JEDD,2
20231204,29991231,9141,VIOLET TWP LANCASTER JEDD,2.3
20070920,20351231,9142,APPLE CREEK EAST UNION TWP JEDD 1,1
20150903,20551231,9143,APPLE CREEK EAST UNION TWP JEDD 2,1
20230315,29991231,9144,MARYSVILLE JEROME TWP JEDD,1.5
20250101,29991231,9145,BAINBRIDGE TWP AURORA JEDD,2
20241001,29991231,9146,ORANGE TWP JEDD,2.5
20250101,29991231,9147,UNION TOWNSHIP-MILFORD JEDD 8,1
20240101,29991231,9148,MARENGO BENNINGTON TWP JEDD,1
20240101,29991231,9149,RAVENNA ROOTSTOWN TWP JEDD,2
20250101,29991231,9150,UNION TOWNSHIP VILLAGE OF BATAVIA JEDD 9,1
20230325,29991231,9151,UNION TOWNSHIP - CITY OF HEATH JEDD,2
20251101,29991231,9152,SYCAMORE TOWNSHIP-CITY OF MONTGOMERY JEDD,0.75
20250101,29991231,9153,GREEN TOWNSHIP-COOPERS HAWK JEDD,2
20250825,29991231,9154,KIMBERLY CLARK JEDD,2
20251112,20651231,9155,WARREN-CHAMPION JEDD,2.5
20050222,29991231,9156,AMHERST TOWNSHIP-CITY OF LORIAIN JEDD,1.5
19961106,29991231,9157,PERRY TOWNSHIP-NAVARRE JEDD,1.5
20260501,29991231,9158,JERSEY-NEW ALBANY JEDD 1, 2
20260501,29991231,9159,JERSEY-NEW ALBANY JEDD 2, 2
20260501,29991231,9160,JERSEY-NEW ALBANY JEDD 3, 2
