municipality,plan_type,gasb_2025_fiduciary_net_position_percent,measurement_period_end,source_url,source_file,sha256,bytes,pages
Beckley,Fire,63.22,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Beckley%20Fire%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Beckley Fire GASB Report 2025.pdf,4D038B8869305B2720D155D401F222E5FD6CC3CCF1F1E1022DDB279A1884BFE9,616083,16
Beckley,Police,81.55,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Beckley%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Beckley Police GASB Report 2025.pdf,AA147F3E46A51C519E5EC15F142B683F1D78A6C42C0C1DF7259CCA71FF7129DF,669498,16
Belle,Police,134.08,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Belle%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Belle Police GASB Report 2025.pdf,6B29C3C83AF01CD1F98D0B594A1EC333BE58108F45E6CA8A5BD4AF8C346C4B5D,442884,13
Bluefield,Fire,31.59,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Bluefield%20Fire%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Bluefield Fire GASB Report 2025.pdf,0AA9804F18933AEF6EBF3E732965E5FBD32A41A23BE6B27D79AF6B5A4D2B9822,614097,16
Bluefield,Police,71.53,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Bluefield%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Bluefield Police GASB Report 2025.pdf,5D01201ED8111884B8F58F05BC5F24029D52B3655259F143B36798579F33AF72,614001,16
Charles Town,Police,58.23,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Charles%20Town%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Charles Town Police GASB Report 2025.pdf,A25BD44BA05315B1D82113A08A371E6CD0F9130C7176D9ABEAF12693ABF78117,572473,13
Charleston,Fire,40.18,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Charleston%20Fire%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Charleston Fire GASB Report 2025.pdf,3F41136BEA301B2002C41B04B2EE0CCE887239624C395875566F919BC45F7310,575661,13
Charleston,Police,43.89,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Charleston%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Charleston Police GASB Report 2025.pdf,93B32A7BFBCE749984A3264F89D925E5473353E711D0C55CA054BC97DD7E8F34,571853,13
Chester,Police,99.48,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Chester%20Police%20GASB%20Police%20Report%202025.pdf,MPOB-GASB-2025/Chester Police GASB Report 2025.pdf,31DB7A3CCCE71713711E02B7D3CBF663CEA574B908CDDD3B42EF4B08D3A19F10,571479,13
Clarksburg,Fire,54.64,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Clarksburg%20Fire%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Clarksburg Fire GASB Report 2025.pdf,AF1B8DDE316D0C994BAB700FAE65AC97320FBF129F8DA106254094E073489995,573289,13
