"session_year","source_url","retrieved_utc","bytes","sha256","exact_phrase_hits","qualifying_authority_candidates"
"1997","https://billstatus.ls.state.ms.us/1997/all_measures/allmsrs.htm","2026-08-26","1163568","5373ff09c2e7cac87e01b509edc1888bb4d6906114ea622146e970b3eb7046b5","1","HB 68 — died in committee 02/26/1997"
"1998","https://billstatus.ls.state.ms.us/1998/all_measures/allmsrs.htm","2026-08-26","1197125","61dac1606ae21b57ca89ff5405afbab7d99f2897fb73b591899e368c6509fc5c","1","HB 299 — died in committee 02/25/1998"
"1999","https://billstatus.ls.state.ms.us/1999/all_measures/allmsrs.htm","2026-08-26","1155912","c33305f1ed2e57a3d4f06ced87c8665b12867d34c9269f841ab58b0a6a577938","1","HB 950 — died in committee 02/24/1999"
"2000","https://billstatus.ls.state.ms.us/2000/all_measures/allmsrs.htm","2026-08-26","1154808","38110cba383fff5e11d3531ebe723a674975e6807c71acbde664ef1c12e108d6","0",""
"2001","https://billstatus.ls.state.ms.us/2001/all_measures/allmsrs.htm","2026-08-26","1100322","ae5f56401e0f633fe390886dc0277e813da953a8eb9ac150bc2607e538c0bb10","1","HB 900 — died in committee 02/21/2001"
"2002","https://billstatus.ls.state.ms.us/2002/all_measures/allmsrs.htm","2026-08-26","1177007","eb5d99e23f50ac0a75bdc2cc4a07e64989772d6aef02395fc3b6ef280003063a","0",""
"2003","https://billstatus.ls.state.ms.us/2003/all_measures/allmsrs.htm","2026-08-26","1070482","71a33b764cb2a59b07e22c6475a4ffef4e07124d969a43387e26fb44d07dabee","1","HB 1467 — died in committee 02/26/2003"
"2004","https://billstatus.ls.state.ms.us/2004/all_measures/allmsrs.htm","2026-08-26","1183625","cfdd48464502d13c958a68ec41a509da0008660522c7015054c6ec1334c12a16","0",""
"2005","https://billstatus.ls.state.ms.us/2005/all_measures/allmsrs.htm","2026-08-26","1144956","535a42f8d1b0659479c4b3315e9201c84c6076803fd17847130b1d147b406849","0",""
"2006","https://billstatus.ls.state.ms.us/2006/all_measures/allmsrs.htm","2026-08-26","1098905","401f7887664b8052ac987c019d6fa25c5956c312f144e1fceeedf522bda0b91d","0",""
"2007","https://billstatus.ls.state.ms.us/2007/all_measures/allmsrs.htm","2026-08-26","1190419","780fff05331f25bf3c94e8e5f567dccb98fff9dbbc05c57c5c0b2a24333d2951","0",""
"2008","https://billstatus.ls.state.ms.us/2008/pdf/all_measures/allmsrs.xml","2026-08-26","1606030","2dd73a28f0fc95245ac281bd29e7440a8253a4375c1bbfe1026ef478d2bd7112","0",""
"2009","https://billstatus.ls.state.ms.us/2009/pdf/all_measures/allmsrs.xml","2026-08-26","1724400","ab8b238d4706cdc960958b0833ca95260f5fb82f0087f2b43778fb42526b1549","0",""
"2010","https://billstatus.ls.state.ms.us/2010/pdf/all_measures/allmsrs.xml","2026-08-26","1638722","1167631d719fdea29bb2f650b6ae2308aa8652c2d48ad34d80133046594f1c59","0",""
"2011","https://billstatus.ls.state.ms.us/2011/pdf/all_measures/allmsrs.xml","2026-08-26","1583430","6c6ed8ae116b4ea4f9aacef8c6efdee1cc14d2d44e84e9fec636437e96fcea08","0",""
"2012","https://billstatus.ls.state.ms.us/2012/pdf/all_measures/allmsrs.xml","2026-08-26","1513450","15b960d61668b3c0d52245a244496e9ba4b9884e4dab217086a6e6249dd387c5","0",""
