municipality,rate,effective_at,source_urls,limitations
Alexandria,1.5%,"Current 2026 delegated-collector form","https://campbellcountyky.gov/egov/documents/1761592816_36117.pdf","Current official collector form controls over ambiguous Secretary of State rate text."
Ashland,2.375%,2026-01-01,"https://cms8.revize.com/revize/ashland/Agenda%2007252025.pdf|https://codelibrary.amlegal.com/codes/ashlandky/latest/ashland_ky/0-0-0-6925","Current city enactment controls over the codifier's stale 2% display."
Auburn,1.5%,"Current code retrieved 2026-08-27","https://codelibrary.amlegal.com/codes/auburnky/latest/auburn_ky/0-0-0-2895","Current municipal code establishes resident and nonresident worksite incidence."
Augusta,1.3%,"Current code retrieved 2026-08-27","https://codelibrary.amlegal.com/codes/augusta/latest/augusta_ky/0-0-0-9001|https://codelibrary.amlegal.com/codes/augusta/latest/augusta_ky/0-0-0-9045","Corrects the KLC FY2023 1.25% entry."
Bardstown,1%,"Current city form retrieved 2026-08-27","https://www.cityofbardstown.org/document_center/Licensing%20and%20Permits/Occupational%20License%20Fee%20Form.pdf","Official return excludes outside-city wages."
Bellevue,2.5%,"2026 delegated-collector schedule","https://campbellcountyky.gov/egov/apps/document/center.egov?view=item%3Bid%3D391","Current official Campbell County schedule."
Berea,2%,"Current city page and code retrieved 2026-08-27","https://bereaky.org/government/city-departments/finance-department/occupational-license-fee/|https://codelibrary.amlegal.com/codes/bereaky/latest/berea_ky/0-0-0-37366","Current municipal sources expressly include nonresidents working in the city."
Bromley,1%,"2026 delegated-collector guide","https://www.kentoncounty.org/DocumentCenter/View/3321/Kenton-County-and-Cities-Occupational-Business-License-Guide?bidId=","Current Kenton County guide controls over ambiguous SOS display text."
Campbellsville,1.5%,2026-01-01,"https://taylorcountyky.gov/occupational-tax","Corrects the KLC FY2023 1% entry."
Cold Spring,1%,"2026 delegated-collector form","https://campbellcountyky.gov/egov/documents/1761592816_36117.pdf","Current official collector form."
Crescent Springs,1%,"2026 delegated-collector guide","https://www.kentoncounty.org/DocumentCenter/View/3321/Kenton-County-and-Cities-Occupational-Business-License-Guide?bidId=","Current official collector guide."
Crestview Hills,1.15%,"2026 delegated-collector guide","https://www.kentoncounty.org/DocumentCenter/View/3321/Kenton-County-and-Cities-Occupational-Business-License-Guide?bidId=","Current official collector guide."
Danville,1.9%,"Current city and delegated-collector pages retrieved 2026-08-27","https://danvilleky.org/231/Business-Occupational-Licenses|https://www.boylecountyky.gov/191/Occupational-Tax-Business-Information","Current official sources establish worksite wages and withholding."
Dayton,2%,"2026 delegated-collector schedule","https://campbellcountyky.gov/egov/apps/document/center.egov?view=item%3Bid%3D391","Corrects the KLC FY2023 2.5% entry; retain for refresh when the local 2026 ordinance is codified."
Edgewood,1%,"2026 delegated-collector guide","https://www.kentoncounty.org/DocumentCenter/View/3321/Kenton-County-and-Cities-Occupational-Business-License-Guide?bidId=","Current official collector guide."
