"district_id","selector_name","tax_district_name","ordinance","city","county","net_profits_or_gross_receipts","tax_rate_text","minimum_tax","cap","public_notes","ordinance_urls","tax_form_urls","other_document_urls","source_page_url","retrieved_at"
"239","Adair County","Adair County","08-23-22","Columbia","Adair","","0.50%","","","","https://web.sos.ky.gov/occupationaltaxes/239-1309.pdf","https://web.sos.ky.gov/occupationaltaxes/239-1202.pdf | https://web.sos.ky.gov/occupationaltaxes/239-1201.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:51Z"
"8","Adairville","Adairville","Chapter 110: Occupational Licenses","Adairville","Logan","Net Profits","1.5%","","","","https://web.sos.ky.gov/occupationaltaxes/8-16.pdf","https://web.sos.ky.gov/occupationaltaxes/8-17.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:51Z"
"197","Alexandria","Alexandria","No. 2016-11","Alexandria","Campbell","Gross Receipts","0.075%","$100","$25,000","","https://web.sos.ky.gov/occupationaltaxes/197-834.pdf | https://web.sos.ky.gov/occupationaltaxes/197-627.pdf","https://web.sos.ky.gov/occupationaltaxes/197-1301.pdf","https://web.sos.ky.gov/occupationaltaxes/197-1179.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:51Z"
"26","Allen County","Allen County","07-19","Scottsville","Allen","","","","","","https://web.sos.ky.gov/occupationaltaxes/26-69.pdf","https://web.sos.ky.gov/occupationaltaxes/26-68.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:52Z"
"9","Ashland","Ashland","No. 62, 2013","Ashland","Boyd","Net Profits","2.375% eff. 1/1/2026","$100 (Bus. Lic. Fee)","","","https://web.sos.ky.gov/occupationaltaxes/9-1310.pdf","https://web.sos.ky.gov/occupationaltaxes/9-1315.pdf | https://web.sos.ky.gov/occupationaltaxes/9-1314.pdf | https://web.sos.ky.gov/occupationaltaxes/9-1313.pdf | https://web.sos.ky.gov/occupationaltaxes/9-1312.pdf | https://web.sos.ky.gov/occupationaltaxes/9-1311.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:52Z"
"10","Auburn","Auburn","2011-07","Auburn","Logan","Gross Receipts","0.0033%","$50","$5,000","","https://web.sos.ky.gov/occupationaltaxes/10-22.pdf","https://web.sos.ky.gov/occupationaltaxes/10-23.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:52Z"
"220","Augusta","Augusta","No 2016-03","Augusta","Bracken","Net Profits and Payroll","1.25%","$50 Net profits","$900 for both","","https://web.sos.ky.gov/occupationaltaxes/220-724.pdf","","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:52Z"
"11","Bardstown","Bardstown","B2016-13","Bardstown","Nelson","Net Profits","1%","","","","https://web.sos.ky.gov/occupationaltaxes/11-648.pdf | https://web.sos.ky.gov/occupationaltaxes/11-24.pdf","https://web.sos.ky.gov/occupationaltaxes/11-600.pdf | https://web.sos.ky.gov/occupationaltaxes/11-25.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:52Z"
"214","Beattyville","Beattyville","2010 S-4","Beattyville","Lee","Gross Receipts","1%","","","","https://web.sos.ky.gov/occupationaltaxes/214-728.pdf","https://web.sos.ky.gov/occupationaltaxes/214-860.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:52Z"
"12","Bellevue","Bellevue","2007-12-1","Bellevue","Campbell","Gross Receipts","Bracketed","$60","$6,325","","https://web.sos.ky.gov/occupationaltaxes/12-26.pdf","https://web.sos.ky.gov/occupationaltaxes/12-644.pdf | https://web.sos.ky.gov/occupationaltaxes/12-27.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:52Z"
