jedd_jedz_id,name,zone_type_from_official_name,tax_category,rate_percent,rate_fraction,effective_start_date,effective_end_date,snapshot_as_of_date,source_url,retrieved_at
9001,ASHTABULA TOWNSHIP JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1.8,0.018,2003-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9002,AUSTIN CENTER JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.25,0.0225,2011-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9003,BAINBRIDGE-SOLON JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2,0.02,2007-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9004,BATH-AKRON-FAIRLAWN JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.5,0.025,2018-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9005,BEACHWOOD EAST JEDZ,JEDZ,JEDD_JEDZ_INCOME_TAX,2,0.02,2011-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9006,BEACHWOOD WEST JEDZ,JEDZ,JEDD_JEDZ_INCOME_TAX,2,0.02,2011-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9007,BERKSHIRE TOWNSHIP JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1.85,0.0185,2011-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9008,BOSTON TOWNSHIP / PENINSULA JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2,0.02,2012-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9009,BRIMFIELD-KENT JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2,0.02,2025-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9010,BRIMFIELD-TALLMADGE JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2,0.02,2025-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9011,BUTLER TOWNSHIP-VANDALIA JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2,0.02,2006-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9012,CIRCLEVILLE PICKAWAY TOWNSHIP JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.5,0.025,2020-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9013,CLAY TOWNSHIP-CITY OF CLAYTON JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1.5,0.015,2004-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9014,COPLEY-AKRON JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.5,0.025,2018-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9015,COVENTRY-AKRON JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.5,0.025,2018-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9016,EATON NW PROFESSIONAL BUSINESS JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.25,0.0225,2016-07-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9017,ELYRIA TOWNSHIP-CITY OF ELYRIA JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.25,0.0225,2016-07-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9018,HAMILTON INDIAN SPRINGS JEDD I,JEDD,JEDD_JEDZ_INCOME_TAX,2,0.02,2003-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9019,HAMILTON FAIRFIELD TOWNSHIP JEDD II,JEDD,JEDD_JEDZ_INCOME_TAX,2,0.02,2003-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9020,HARRISON TOWNSHIP JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1,0.01,2000-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9021,KENT-FRANKLIN JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2,0.02,2014-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9023,LIBERTY TOWNSHIP JEDD I,JEDD,JEDD_JEDZ_INCOME_TAX,1.5,0.015,2008-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9024,MACEDONIA NORTHFIELD CENTER TOWNSHIP JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.5,0.025,2019-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9025,MEDINA MONTVILLE JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1.25,0.0125,2004-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9026,DAYTON MALL JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.25,0.0225,2011-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9027,UNION TOWNSHIP-MILFORD JEDD 1,JEDD,JEDD_JEDZ_INCOME_TAX,1,0.01,2007-07-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9028,UNION TOWNSHIP-MILFORD JEDD 2,JEDD,JEDD_JEDZ_INCOME_TAX,1,0.01,2012-05-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9029,UNION TOWNSHIP-MILFORD JEDD 3,JEDD,JEDD_JEDZ_INCOME_TAX,1,0.01,2013-06-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9030,UNION TOWNSHIP-MILFORD JEDD 4,JEDD,JEDD_JEDZ_INCOME_TAX,1,0.01,2013-10-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9031,NORTH PICKAWAY COUNTY JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.5,0.025,2008-11-14,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9032,ORANGE CHAGRIN HIGHLANDS JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2,0.02,1999-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9033,CONCORD TOWNSHIP-PAINESVILLE JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1.75,0.0175,2012-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9034,PATASKALA CORPORATE PARK JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1.75,0.0175,2000-04-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
