psd_code,counties,municipality_ids,municipality_name_official,municipality_type_from_official_suffix,school_district_id,school_district_name,scope_category,municipal_nonresident_eit_percent,municipal_nonresident_eit_effective_date,municipal_resident_eit_percent,municipal_resident_eit_effective_date,school_district_eit_percent,school_district_pit_percent,total_resident_income_tax_percent,municipal_lst_dollars,school_district_lst_dollars,total_lst_dollars,eit_collector,eit_collector_website,tax_collection_district_name,date_last_updated,register_as_of_date,source_page_url,source_download_url,philadelphia_overlay_url,retrieved_at
010101,ADAMS,010303,EAST BERLIN BORO,borough,011103,BERMUDIAN SPRINGS S D,MUNICIPAL_EIT_WORK_LOCATION,1,01/01/2006,0.5,,1.2,0,1.7,52,0,52,York Adams Tax Bureau,www.yatb.com,ADAMS TAX COLLECTION DISTRICT,2026-07-23,2026-08-25,https://apps.dced.pa.gov/munstats-public/ReportInformation2.aspx?report=EitWithCollector_Dyn_Excel&type=R,https://apps.dced.pa.gov/munstats-public/ReportToPdf.aspx?report=EitWithCollector_Dyn_Excel&paramList=R;2026,,2026-08-26T00:02:05+00:00
010102,ADAMS,010485,HAMILTON TWP,township,011103,BERMUDIAN SPRINGS S D,MUNICIPAL_EIT_WORK_LOCATION,1,01/01/2014,0.5,,1.2,0,1.7,52,0,52,York Adams Tax Bureau,www.yatb.com,ADAMS TAX COLLECTION DISTRICT,2026-07-23,2026-08-25,https://apps.dced.pa.gov/munstats-public/ReportInformation2.aspx?report=EitWithCollector_Dyn_Excel&type=R,https://apps.dced.pa.gov/munstats-public/ReportToPdf.aspx?report=EitWithCollector_Dyn_Excel&paramList=R;2026,,2026-08-26T00:02:05+00:00
010103,ADAMS,010575,HUNTINGTON TWP,township,011103,BERMUDIAN SPRINGS S D,MUNICIPAL_EIT_WORK_LOCATION,1,01/01/2012,0.5,,1.2,0,1.7,0,0,0,York Adams Tax Bureau,www.yatb.com,ADAMS TAX COLLECTION DISTRICT,2026-07-23,2026-08-25,https://apps.dced.pa.gov/munstats-public/ReportInformation2.aspx?report=EitWithCollector_Dyn_Excel&type=R,https://apps.dced.pa.gov/munstats-public/ReportToPdf.aspx?report=EitWithCollector_Dyn_Excel&paramList=R;2026,,2026-08-26T00:02:05+00:00
010104,ADAMS,010605,LATIMORE TWP,township,011103,BERMUDIAN SPRINGS S D,MUNICIPAL_EIT_RESIDENT_ONLY,0,,0.5,,1.2,0,1.7,0,0,0,York Adams Tax Bureau,www.yatb.com,ADAMS TAX COLLECTION DISTRICT,2026-07-23,2026-08-25,https://apps.dced.pa.gov/munstats-public/ReportInformation2.aspx?report=EitWithCollector_Dyn_Excel&type=R,https://apps.dced.pa.gov/munstats-public/ReportToPdf.aspx?report=EitWithCollector_Dyn_Excel&paramList=R;2026,,2026-08-26T00:02:05+00:00
010105,ADAMS,010875,READING TWP,township,011103,BERMUDIAN SPRINGS S D,MUNICIPAL_EIT_WORK_LOCATION,1,12/19/2005,0.5,,1.2,0,1.7,0,0,0,York Adams Tax Bureau,www.yatb.com,ADAMS TAX COLLECTION DISTRICT,2026-07-23,2026-08-25,https://apps.dced.pa.gov/munstats-public/ReportInformation2.aspx?report=EitWithCollector_Dyn_Excel&type=R,https://apps.dced.pa.gov/munstats-public/ReportToPdf.aspx?report=EitWithCollector_Dyn_Excel&paramList=R;2026,,2026-08-26T00:02:05+00:00
010106,ADAMS,010993,YORK SPRINGS BORO,borough,011103,BERMUDIAN SPRINGS S D,MUNICIPAL_EIT_WORK_LOCATION,1,01/01/2012,0.5,12/15/2015,1.2,0,1.7,0,0,0,York Adams Tax Bureau,www.yatb.com,ADAMS TAX COLLECTION DISTRICT,2026-07-23,2026-08-25,https://apps.dced.pa.gov/munstats-public/ReportInformation2.aspx?report=EitWithCollector_Dyn_Excel&type=R,https://apps.dced.pa.gov/munstats-public/ReportToPdf.aspx?report=EitWithCollector_Dyn_Excel&paramList=R;2026,,2026-08-26T00:02:05+00:00
010201,ADAMS,010033,ABBOTTSTOWN BORO,borough,011603,CONEWAGO VALLEY S D,MUNICIPAL_EIT_WORK_LOCATION,1,02/13/1969,0.5,02/13/1969,1,0,1.5,47,5,52,York Adams Tax Bureau,www.yatb.com,ADAMS TAX COLLECTION DISTRICT,2026-06-15,2026-08-25,https://apps.dced.pa.gov/munstats-public/ReportInformation2.aspx?report=EitWithCollector_Dyn_Excel&type=R,https://apps.dced.pa.gov/munstats-public/ReportToPdf.aspx?report=EitWithCollector_Dyn_Excel&paramList=R;2026,,2026-08-26T00:02:05+00:00
010202,ADAMS,010125,BERWICK TWP,township,011603,CONEWAGO VALLEY S D,MUNICIPAL_EIT_WORK_LOCATION,1,01/01/2012,0.5,,1,0,1.5,5,5,10,York Adams Tax Bureau,www.yatb.com,ADAMS TAX COLLECTION DISTRICT,2026-06-15,2026-08-25,https://apps.dced.pa.gov/munstats-public/ReportInformation2.aspx?report=EitWithCollector_Dyn_Excel&type=R,https://apps.dced.pa.gov/munstats-public/ReportToPdf.aspx?report=EitWithCollector_Dyn_Excel&paramList=R;2026,,2026-08-26T00:02:05+00:00
010203,ADAMS,010183,BONNEAUVILLE BORO,borough,011603,CONEWAGO VALLEY S D,MUNICIPAL_EIT_WORK_LOCATION,1,07/01/1968,0.5,07/01/1968,1,0,1.5,5,5,10,York Adams Tax Bureau,www.yatb.com,ADAMS TAX COLLECTION DISTRICT,2026-06-15,2026-08-25,https://apps.dced.pa.gov/munstats-public/ReportInformation2.aspx?report=EitWithCollector_Dyn_Excel&type=R,https://apps.dced.pa.gov/munstats-public/ReportToPdf.aspx?report=EitWithCollector_Dyn_Excel&paramList=R;2026,,2026-08-26T00:02:05+00:00
010204,ADAMS,010245,CONEWAGO TWP,township,011603,CONEWAGO VALLEY S D,MUNICIPAL_EIT_WORK_LOCATION,1,01/01/2012,0.5,,1,0,1.5,47,5,52,York Adams Tax Bureau,www.yatb.com,ADAMS TAX COLLECTION DISTRICT,2026-06-15,2026-08-25,https://apps.dced.pa.gov/munstats-public/ReportInformation2.aspx?report=EitWithCollector_Dyn_Excel&type=R,https://apps.dced.pa.gov/munstats-public/ReportToPdf.aspx?report=EitWithCollector_Dyn_Excel&paramList=R;2026,,2026-08-26T00:02:05+00:00
010205,ADAMS,010485,HAMILTON TWP,township,011603,CONEWAGO VALLEY S D,MUNICIPAL_EIT_WORK_LOCATION,1,01/01/2014,0.5,,1,0,1.5,47,5,52,York Adams Tax Bureau,www.yatb.com,ADAMS TAX COLLECTION DISTRICT,2026-06-15,2026-08-25,https://apps.dced.pa.gov/munstats-public/ReportInformation2.aspx?report=EitWithCollector_Dyn_Excel&type=R,https://apps.dced.pa.gov/munstats-public/ReportToPdf.aspx?report=EitWithCollector_Dyn_Excel&paramList=R;2026,,2026-08-26T00:02:05+00:00
010206,ADAMS,010693,MCSHERRYSTOWN BORO,borough,011603,CONEWAGO VALLEY S D,MUNICIPAL_EIT_WORK_LOCATION,1,01/01/2012,0.5,,1,0,1.5,47,5,52,York Adams Tax Bureau,www.yatb.com,ADAMS TAX COLLECTION DISTRICT,2026-06-15,2026-08-25,https://apps.dced.pa.gov/munstats-public/ReportInformation2.aspx?report=EitWithCollector_Dyn_Excel&type=R,https://apps.dced.pa.gov/munstats-public/ReportToPdf.aspx?report=EitWithCollector_Dyn_Excel&paramList=R;2026,,2026-08-26T00:02:05+00:00
