FIPS_CODE,MUNI_NAME
00142,ABERDEEN
00198,ADA
00380,ADAMSVILLE
00436,ADDYSTON
00450,ADELPHI
00464,ADENA
01000,AKRON
01042,ALBANY
01154,ALEXANDRIA
01210,ALGER
01420,ALLIANCE
01588,ALVORDTON
01630,AMANDA
01672,AMBERLEY
01742,AMELIA
01784,AMESVILLE
01798,AMHERST
01938,AMSTERDAM
02050,ANDOVER
02092,ANNA
02120,ANSONIA
02148,ANTIOCH
02204,ANTWERP
02232,APPLE CREEK
02274,AQUILLA
02316,ARCADIA
02330,ARCANUM
02344,ARCHBOLD
02400,ARLINGTON
02428,ARLINGTON HEIGHTS
02568,ASHLAND
02582,ASHLEY
02638,ASHTABULA
02680,ASHVILLE
02722,ATHALIA
02736,ATHENS
02820,ATTICA
03086,AURORA
03184,AUSTINTOWN
03352,AVON
03464,AVON LAKE
03562,BAILEY LAKES
03585,BAINBRIDGE
03604,BAINBRIDGE
03646,BAIRDSTOWN
03716,BALLVILLE
03744,BALTIC
03758,BALTIMORE
03828,BARBERTON
03926,BARNESVILLE
03940,BARNHILL
04150,BATAVIA
04192,BATESVILLE
04402,BAY VIEW
04416,BAY VILLAGE
04458,BEACH CITY
04500,BEACHWOOD
04542,BEALLSVILLE
04696,BEAVER
04720,BEAVERCREEK
04752,BEAVERDAM
04840,BECKETT RIDGE
04878,BEDFORD
04920,BEDFORD HEIGHTS
05013,BEECHWOOD TRAILS
05074,BELLAIRE
05102,BELLBROOK
05116,BELLE CENTER
05130,BELLEFONTAINE
05158,BELLE VALLEY
05228,BELLEVUE
05284,BELLVILLE
05312,BELMONT
05396,BELMORE
05410,BELOIT
05424,BELPRE
05550,BENTLEYVILLE
05662,BENTON RIDGE
05690,BEREA
05718,BERGHOLZ
05732,BERKEY
05900,BERLIN HEIGHTS
06068,BETHEL
06138,BETHESDA
06194,BETTSVILLE
06222,BEVERLY
06278,BEXLEY
06670,BLACKLICK ESTATES
06810,BLAKESLEE
06908,BLANCHESTER
07062,BLOOMDALE
07188,BLOOMINGBURG
07202,BLOOMINGDALE
07286,BLOOMVILLE
07300,BLUE ASH
07426,BLUFFTON
07454,BOARDMAN
07583,BOLINDALE
07594,BOLIVAR
07790,BOSTON HEIGHTS
07832,BOTKINS
07916,BOWERSTON
07930,BOWERSVILLE
07972,BOWLING GREEN
08084,BRADFORD
08112,BRADNER
08168,BRADY LAKE
08336,BRATENAHL
08364,BRECKSVILLE
08392,BREMEN
08406,BRENTWOOD
08504,BREWSTER
08532,BRICE
08560,BRIDGEPORT
08605,BRIDGETOWN NORTH
08826,BRIMFIELD
09064,BROADVIEW HEIGHTS
09200,BROOKFIELD CENTER
09246,BROOKLYN
09274,BROOKLYN HEIGHTS
09288,BROOK PARK
09316,BROOKSIDE
09358,BROOKVILLE
09386,BROUGHTON
09680,BRUNSWICK
09792,BRYAN
09834,BUCHTEL
09890,BUCKEYE LAKE
09974,BUCKLAND
10030,BUCYRUS
10254,BURBANK
10282,BURGOON
10296,BURKETTSVILLE
10352,BURLINGTON
10436,BURTON
10632,BUTLER
10674,BUTLERVILLE
10716,BYESVILLE
10800,CADIZ
10884,CAIRO
10926,CALCUTTA
10940,CALDWELL
10954,CALEDONIA
10996,CAMBRIDGE
11024,CAMDEN
11066,CAMPBELL
11304,CANAL FULTON
11332,CANAL WINCHESTER
11360,CANFIELD
12000,CANTON
12084,CARDINGTON
12112,CAREY
12168,CARLISLE
12252,CARROLL
12280,CARROLLTON
12462,CASSTOWN
12476,CASTALIA
12504,CASTINE
12560,CATAWBA
12700,CECIL
12784,CEDARVILLE
12868,CELINA
13036,CENTERBURG
13169,CENTERVILLE
13190,CENTERVILLE
13358,CHAGRIN FALLS
13484,CHAMPION HEIGHTS
13554,CHARDON
13694,CHATFIELD
13778,CHAUNCEY
13834,CHERRY FORK
13848,CHERRY GROVE
13904,CHESAPEAKE
13932,CHESHIRE
14086,CHESTERHILL
14100,CHESTERLAND
14114,CHESTERVILLE
14128,CHEVIOT
14156,CHICKASAW
14184,CHILLICOTHE
14226,CHILO
14282,CHIPPEWA LAKE
14288,CHOCTAW LAKE
14296,CHRISTIANSBURG
14324,CHURCHILL
15000,CINCINNATI
15070,CIRCLEVILLE
15210,CLARINGTON
15336,CLARKSBURG
15406,CLARKSVILLE
15588,CLAY CENTER
15644,CLAYTON
16000,CLEVELAND
16014,CLEVELAND HEIGHTS
16028,CLEVES
16056,CLIFTON
16182,CLINTON
16266,CLOVERDALE
16308,CLYDE
16378,COAL GROVE
16434,COALTON
16532,COLDWATER
16700,COLLEGE CORNER
17036,COLUMBIANA
18000,COLUMBUS
18014,COLUMBUS GROVE
18070,COMMERCIAL POINT
18266,CONESVILLE
18308,CONGRESS
18350,CONNEAUT
18504,CONTINENTAL
18546,CONVOY
18588,COOLVILLE
18770,CORNING
18812,CORTLAND
18840,CORWIN
18868,COSHOCTON
19008,COVEDALE
19050,COVINGTON
19106,CRAIG BEACH
19330,CRESTLINE
19344,CRESTON
19400,CRIDERSVILLE
19456,CROOKSVILLE
19554,CROWN CITY
19596,CRYSTAL LAKES
19694,CUMBERLAND
19750,CUSTAR
19778,CUYAHOGA FALLS
19806,CUYAHOGA HEIGHTS
19820,CYGNET
19974,DALTON
20114,DANVILLE
20212,DARBYVILLE
20366,DAY HEIGHTS
21000,DAYTON
21266,DEER PARK
21294,DEERSVILLE
21308,DEFIANCE
21378,DE GRAFF
21434,DELAWARE
21560,DELLROY
21602,DELPHOS
21616,DELTA
21714,DENNISON
21742,DENT
21812,DESHLER
21868,DEVOLA
21910,DEXTER CITY
22008,DILLONVALE
22022,DILLONVALE
22288,DONNELSVILLE
22456,DOVER
22568,DOYLESTOWN
22610,DRESDEN
22624,DREXEL
22674,DRY RUN
22694,DUBLIN
22946,DUNKIRK
22974,DUPONT
23324,EAST CANTON
23380,EAST CLEVELAND
23618,EASTLAKE
23730,EAST LIVERPOOL
23940,EAST PALESTINE
24052,EAST SPARTA
24234,EATON
24262,EATON ESTATES
24486,EDGERTON
24542,EDGEWOOD
24598,EDISON
24640,EDON
24766,ELDORADO
24794,ELGIN
24808,ELIDA
25144,ELMORE
25186,ELMWOOD PLACE
25256,ELYRIA
25368,EMPIRE
25396,ENGLEWOOD
25452,ENON
25704,EUCLID
25802,EVENDALE
25914,FAIRBORN
25942,FAIRFAX
25970,FAIRFIELD
26110,FAIRFIELD BEACH
26166,FAIRLAWN
26306,FAIRPORT HARBOR
26348,FAIRVIEW
26432,FAIRVIEW LANES
26446,FAIRVIEW PARK
26656,FARMERSVILLE
26768,FAYETTE
26796,FAYETTEVILLE
26880,FELICITY
27048,FINDLAY
27104,FINNEYTOWN
27303,FIVE POINTS
27412,FLETCHER
27538,FLORIDA
27552,FLUSHING
27636,FOREST
27706,FOREST PARK
27776,FORESTVILLE
27818,FORT JENNINGS
27832,FORT LORAMIE
27846,FORT MCKINLEY
27902,FORT RECOVERY
27944,FORT SHAWNEE
28014,FOSTORIA
28182,FRANKFORT
28476,FRANKLIN
28532,FRANKLIN FURNACE
28574,FRAZEYSBURG
28616,FREDERICKSBURG
28658,FREDERICKTOWN
28798,FREEPORT
28826,FREMONT
28966,FRUIT HILL
29050,FULTON
29064,FULTONHAM
