"record_id","state_code","jurisdiction_name","jurisdiction_type","official_jurisdiction_id","tax_name","legal_incidence","geographic_scope","employer_withholding","rate","effective_at","administrator","evidence_status","coverage_status","product_disposition","source_date","primary_source_urls","limitations"
"al-league-occupational-tax-attalla","AL","Attalla","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"2%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Attalla local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"al-auburn-occupational-license-fee","AL","Auburn","incorporated city",,"Occupational License Fee","employee gross wages","Gross wages of all employees working within Auburn.","True","1%","FY2025 source states the rate has not changed since 1970","City of Auburn Revenue Department","CONFIRMED_PRIMARY","PARTIAL","BUFFER_REVIEW_REQUIRED after authoritative jurisdiction-boundary resolution; otherwise UNDETERMINED","2025","https://static.auburnalabama.org/media/apps/www/revenue/Business-License-%26-Tax-Info-Brochure.pdf | https://static.auburnalabama.org/media/apps/www/finance/business-and-licensing-forms/Reconciliation-of-Occupational-License-Fee-Form-2025.pdf","Direct current sources; detailed exemptions were not inventoried."
"al-league-occupational-tax-bear-creek","AL","Bear Creek","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"1%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Bear Creek local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"al-bessemer-occupational-tax","AL","Bessemer","incorporated city or town",,"Occupational Tax","employee gross compensation","work or services performed within Bessemer; compensation for services outside Bessemer is excluded","True","1%","Current quarterly form retrieved 2026-08-27","City of Bessemer","CONFIRMED_PRIMARY","PARTIAL","BUFFER_REVIEW_REQUIRED after authoritative jurisdiction-boundary resolution; otherwise UNDETERMINED","Current city form retrieved 2026-08-27","https://bessemeral.org/business/business-licenses-forms | https://cdn.prod.website-files.com/68ecf5da428edc78da18d9bb/697bd7feb67c8066653208d3_Occupational-Tax-Quarterly.pdf","The current form does not state the original enactment date."
"al-birmingham-occupational-tax","AL","Birmingham","incorporated city",,"Occupational Tax","employee compensation","Employees working in Birmingham; resident distinction not stated in the cited source.","True","1%","2025 example; current rate effective date not stated","City of Birmingham Tax and License Division","CONFIRMED_PRIMARY","PARTIAL","BUFFER_REVIEW_REQUIRED after authoritative jurisdiction-boundary resolution; otherwise UNDETERMINED","2025","https://library.municode.com/al/birmingham/codes/code_of_ordinances?nodeId=PT1THCOGEOR_TIT3ARETA_CH2OCTA","Direct current calculation example; full ordinance scope and exemptions were not captured."
"al-league-occupational-tax-brilliant","AL","Brilliant","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"1%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Brilliant local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"al-fairfield-occupational-tax","AL","Fairfield","incorporated city or town",,"Occupational License Tax","employee compensation","services performed within Fairfield by residents and nonresidents; mixed inside/outside compensation is apportioned","True","1%","Ordinance 1019 adopted 2008-12-01; effective after five days of posting","City of Fairfield","CONFIRMED_PRIMARY","PARTIAL","BUFFER_REVIEW_REQUIRED after authoritative jurisdiction-boundary resolution; otherwise UNDETERMINED","Current ordinance catalog and city-posted ordinance retrieved 2026-08-27","https://cityoffairfieldal.org/ova_doc/ordinances/ | http://cityoffairfieldal.org/wp-content/uploads/2025/02/Ordinance-1019-Occupational-Tax_rotated.pdf","Authoritative address-to-boundary resolution is still required for product use."
"al-gadsden-occupation-tax","AL","Gadsden","incorporated city",,"Occupation Tax / Occupational License Fee","employee gross wages","Tax is based on employees' gross wages; resident distinction and detailed work-location allocation are not stated in the cited sources.","True","2%","Current registration form; specific effective date not stated","City of Gadsden Revenue Department","CONFIRMED_PRIMARY","PARTIAL","BUFFER_REVIEW_REQUIRED after authoritative jurisdiction-boundary resolution; otherwise UNDETERMINED","Current forms retrieved 2026-08-25","https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH74LITA_ARTIVOCLIFE | https://www.cityofgadsden.com/DocumentCenter/View/5067/Form-G-3-OLF-Reconciliation","Work-location allocation and exemption details require ordinance review."
"al-glencoe-occupational-license-fee","AL","Glencoe","incorporated city",,"Occupational License Fee","employee gross wages","Employee gross wages; resident distinction is not stated in the cited source.","True","2%",,"City of Glencoe tax administration","CONFIRMED_PRIMARY","PARTIAL","BUFFER_REVIEW_REQUIRED after authoritative jurisdiction-boundary resolution; otherwise UNDETERMINED","2022 official application, still published when retrieved 2026-08-25","https://cityofglencoe.org/revenue/ | https://cityofglencoe.org/wp-content/uploads/2021/09/Glencoe-Occupational-Tax-Form.pdf","Official form remains published, but no newer dated rate confirmation was located."
"al-league-occupational-tax-goodwater","AL","Goodwater","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"0.75%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Goodwater local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
