"record_id","state_code","jurisdiction_name","jurisdiction_type","official_jurisdiction_id","tax_name","legal_incidence","geographic_scope","employer_withholding","rate","effective_at","administrator","evidence_status","coverage_status","product_disposition","source_date","primary_source_urls","limitations"
"al-league-occupational-tax-attalla","AL","Attalla","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"2%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Attalla local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"al-league-occupational-tax-bear-creek","AL","Bear Creek","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"1%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Bear Creek local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"al-league-occupational-tax-brilliant","AL","Brilliant","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"1%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Brilliant local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"al-league-occupational-tax-goodwater","AL","Goodwater","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"0.75%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Goodwater local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"al-league-occupational-tax-hackleburg","AL","Hackleburg","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"1%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Hackleburg local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"al-league-occupational-tax-lynn","AL","Lynn","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"1%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Lynn local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"al-league-occupational-tax-mosses","AL","Mosses","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"1%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Mosses local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"al-league-occupational-tax-red-bay","AL","Red Bay","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"0.5%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Red Bay local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"al-league-occupational-tax-shorter","AL","Shorter","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"1%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Shorter local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"al-league-occupational-tax-southside","AL","Southside","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"2%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Southside local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
