"title","version","status","bytes","url","file"
"10","C10_1800010118000101","200","804912","https://le.utah.gov/xcode/Title10/C10_1800010118000101.pdf","Title-10-C10_1800010118000101.pdf"
"11","C11_1800010118000101","200","839067","https://le.utah.gov/xcode/Title11/C11_1800010118000101.pdf","Title-11-C11_1800010118000101.pdf"
"12","C12_1800010118000101","200","7556","https://le.utah.gov/xcode/Title12/C12_1800010118000101.pdf","Title-12-C12_1800010118000101.pdf"
"13","C13_1800010118000101","200","929586","https://le.utah.gov/xcode/Title13/C13_1800010118000101.pdf","Title-13-C13_1800010118000101.pdf"
"14","C14_1800010118000101","200","11655","https://le.utah.gov/xcode/Title14/C14_1800010118000101.pdf","Title-14-C14_1800010118000101.pdf"
"15","C15_1800010118000101","200","41628","https://le.utah.gov/xcode/Title15/C15_1800010118000101.pdf","Title-15-C15_1800010118000101.pdf"
"15A","C15A_1800010118000101","200","253492","https://le.utah.gov/xcode/Title15A/C15A_1800010118000101.pdf","Title-15A-C15A_1800010118000101.pdf"
"16","C16_1800010118000101","200","1041236","https://le.utah.gov/xcode/Title16/C16_1800010118000101.pdf","Title-16-C16_1800010118000101.pdf"
"17","C17_1800010118000101","200","829705","https://le.utah.gov/xcode/Title17/C17_1800010118000101.pdf","Title-17-C17_1800010118000101.pdf"
"17B","C17B_1800010118000101","200","434224","https://le.utah.gov/xcode/Title17B/C17B_1800010118000101.pdf","Title-17B-C17B_1800010118000101.pdf"
"17C","C17C_2016051020160510","200","206801","https://le.utah.gov/xcode/Title17C/C17C_2016051020160510.pdf","Title-17C-C17C_2016051020160510.pdf"
"17D","C17D_1800010118000101","200","137767","https://le.utah.gov/xcode/Title17D/C17D_1800010118000101.pdf","Title-17D-C17D_1800010118000101.pdf"
"17E","C17E_2025110620251206","200","26637","https://le.utah.gov/xcode/Title17E/C17E_2025110620251206.pdf","Title-17E-C17E_2025110620251206.pdf"
"18","C18_1800010118000101","200","13221","https://le.utah.gov/xcode/Title18/C18_1800010118000101.pdf","Title-18-C18_1800010118000101.pdf"
"19","C19_1800010118000101","200","612588","https://le.utah.gov/xcode/Title19/C19_1800010118000101.pdf","Title-19-C19_1800010118000101.pdf"
"20A","C20A_1800010118000101","200","994338","https://le.utah.gov/xcode/Title20A/C20A_1800010118000101.pdf","Title-20A-C20A_1800010118000101.pdf"
"23A","C23A_2023050320230701","200","259892","https://le.utah.gov/xcode/Title23A/C23A_2023050320230701.pdf","Title-23A-C23A_2023050320230701.pdf"
"25","C25_1800010118000101","200","27178","https://le.utah.gov/xcode/Title25/C25_1800010118000101.pdf","Title-25-C25_1800010118000101.pdf"
"26A","C26A_1800010118000101","200","45049","https://le.utah.gov/xcode/Title26A/C26A_1800010118000101.pdf","Title-26A-C26A_1800010118000101.pdf"
"26B","C26B_2022050420220701","200","1536238","https://le.utah.gov/xcode/Title26B/C26B_2022050420220701.pdf","Title-26B-C26B_2022050420220701.pdf"
"29","C29_1800010118000101","200","11135","https://le.utah.gov/xcode/Title29/C29_1800010118000101.pdf","Title-29-C29_1800010118000101.pdf"
"3","C3_1800010118000101","200","65958","https://le.utah.gov/xcode/Title3/C3_1800010118000101.pdf","Title-3-C3_1800010118000101.pdf"
"31A","C31A_1800010118000101","200","2118459","https://le.utah.gov/xcode/Title31A/C31A_1800010118000101.pdf","Title-31A-C31A_1800010118000101.pdf"
"32B","C32B_1800010118000101","200","563320","https://le.utah.gov/xcode/Title32B/C32B_1800010118000101.pdf","Title-32B-C32B_1800010118000101.pdf"
"34","C34_1800010118000101","200","196512","https://le.utah.gov/xcode/Title34/C34_1800010118000101.pdf","Title-34-C34_1800010118000101.pdf"
"34A","C34A_1800010118000101","200","315858","https://le.utah.gov/xcode/Title34A/C34A_1800010118000101.pdf","Title-34A-C34A_1800010118000101.pdf"
"35A","C35A_1800010118000101","200","422138","https://le.utah.gov/xcode/Title35A/C35A_1800010118000101.pdf","Title-35A-C35A_1800010118000101.pdf"
"36","C36_1800010118000101","200","147671","https://le.utah.gov/xcode/Title36/C36_1800010118000101.pdf","Title-36-C36_1800010118000101.pdf"
"38","C38_1800010118000101","200","171246","https://le.utah.gov/xcode/Title38/C38_1800010118000101.pdf","Title-38-C38_1800010118000101.pdf"
"39A","C39A_2022050420220504","200","97371","https://le.utah.gov/xcode/Title39A/C39A_2022050420220504.pdf","Title-39A-C39A_2022050420220504.pdf"
"4","C4_1800010118000101","200","671577","https://le.utah.gov/xcode/Title4/C4_1800010118000101.pdf","Title-4-C4_1800010118000101.pdf"
"40","C40_1800010118000101","200","297872","https://le.utah.gov/xcode/Title40/C40_1800010118000101.pdf","Title-40-C40_1800010118000101.pdf"
"41","C41_1800010118000101","200","961116","https://le.utah.gov/xcode/Title41/C41_1800010118000101.pdf","Title-41-C41_1800010118000101.pdf"
"42","C42_1800010118000101","200","23878","https://le.utah.gov/xcode/Title42/C42_1800010118000101.pdf","Title-42-C42_1800010118000101.pdf"
"43","C43_1800010118000101","200","7945","https://le.utah.gov/xcode/Title43/C43_1800010118000101.pdf","Title-43-C43_1800010118000101.pdf"
"45","C45_1800010118000101","200","28036","https://le.utah.gov/xcode/Title45/C45_1800010118000101.pdf","Title-45-C45_1800010118000101.pdf"
"46","C46_2018050820190101","200","71966","https://le.utah.gov/xcode/Title46/C46_2018050820190101.pdf","Title-46-C46_2018050820190101.pdf"
"48","C48_1800010118000101","200","460544","https://le.utah.gov/xcode/Title48/C48_1800010118000101.pdf","Title-48-C48_1800010118000101.pdf"
"49","C49_1800010118000101","200","435516","https://le.utah.gov/xcode/Title49/C49_1800010118000101.pdf","Title-49-C49_1800010118000101.pdf"
"50","C50_1800010118000101","200","7705","https://le.utah.gov/xcode/Title50/C50_1800010118000101.pdf","Title-50-C50_1800010118000101.pdf"
"51","C51_1800010118000101","200","142845","https://le.utah.gov/xcode/Title51/C51_1800010118000101.pdf","Title-51-C51_1800010118000101.pdf"
"52","C52_1800010118000101","200","56075","https://le.utah.gov/xcode/Title52/C52_1800010118000101.pdf","Title-52-C52_1800010118000101.pdf"
"53","C53_1800010118000101","200","1080880","https://le.utah.gov/xcode/Title53/C53_1800010118000101.pdf","Title-53-C53_1800010118000101.pdf"
"53C","C53C_1800010118000101","200","77218","https://le.utah.gov/xcode/Title53C/C53C_1800010118000101.pdf","Title-53C-C53C_1800010118000101.pdf"
"53D","C53D_2018050820180701","200","47854","https://le.utah.gov/xcode/Title53D/C53D_2018050820180701.pdf","Title-53D-C53D_2018050820180701.pdf"
"53E","C53E_2018012420180124","200","451186","https://le.utah.gov/xcode/Title53E/C53E_2018012420180124.pdf","Title-53E-C53E_2018012420180124.pdf"
"53F","C53F_2018012420180124","200","371245","https://le.utah.gov/xcode/Title53F/C53F_2018012420180124.pdf","Title-53F-C53F_2018012420180124.pdf"
"53G","C53G_2018012420180124","200","744374","https://le.utah.gov/xcode/Title53G/C53G_2018012420180124.pdf","Title-53G-C53G_2018012420180124.pdf"
