"title","source_url","pdf_name","pdf_bytes","pdf_sha256","text_name","text_bytes","text_sha256","pages"
"10","https://le.utah.gov/xcode/Title10/C10_1800010118000101.pdf","Title-10-C10_1800010118000101.pdf","804912","39112773bf7596d3fef762d2c79376d0517dcd076afbbc7177f582e68deadf3c","Title-10-C10_1800010118000101.txt","1266710","136e51e6a3d00d33386b639017a8c20f90bc10f60f8324bdffa140992c604df2","423"
"11","https://le.utah.gov/xcode/Title11/C11_1800010118000101.pdf","Title-11-C11_1800010118000101.pdf","839067","cd490654415d526d86a87aa26b0ba28c1dd477bbf27de1a065551f00bf58496f","Title-11-C11_1800010118000101.txt","1296231","e9109186c4beec639cf6a3efc93af210a872971f1ff3b2aa05814c1ee0ce60c4","434"
"12","https://le.utah.gov/xcode/Title12/C12_1800010118000101.pdf","Title-12-C12_1800010118000101.pdf","7556","842320e1bad149d4d074b09d0a2329dd567a2ee4eb724424ebcd68d743956c13","Title-12-C12_1800010118000101.txt","3271","f28c61a5f1151ac48ffeaff740230734da7f683819bc7365c5b42f3b6438e5e6","2"
"13","https://le.utah.gov/xcode/Title13/C13_1800010118000101.pdf","Title-13-C13_1800010118000101.pdf","929586","ab8188433a64bd832cf22dc22dc759edd570b1317f163e678ad54f97cbeac110","Title-13-C13_1800010118000101.txt","1398544","c6626104ae291912d797d747b7ed9f775a5c20b9c0b7185e777891e7c387f3e9","487"
"14","https://le.utah.gov/xcode/Title14/C14_1800010118000101.pdf","Title-14-C14_1800010118000101.pdf","11655","41ec18519fb2e2380b90d9fa5306ca1a2f2986d16b47ac938a5ed68b1f97dc20","Title-14-C14_1800010118000101.txt","9592","bb43ac009431a3d31f377ac9d0e435344b150715c9225aa9f1df575b906f357e","4"
"15","https://le.utah.gov/xcode/Title15/C15_1800010118000101.pdf","Title-15-C15_1800010118000101.pdf","41628","f6d2c3f55347a42d573675d2c3ebc634a35164209d6e2f310d947dd8717636ab","Title-15-C15_1800010118000101.txt","53994","f6c8e48750bae40940a6ee1cfbbdcbcda30712f098d987ae6ff3cc3c9aab8e5d","20"
"15A","https://le.utah.gov/xcode/Title15A/C15A_1800010118000101.pdf","Title-15A-C15A_1800010118000101.pdf","253492","22c1f478d230e0ec3a8da775c06773094833b44cddf48751afd28096b5331a3c","Title-15A-C15A_1800010118000101.txt","385424","bdfd43ba6841c46fd6aba07cc929bb0d3a0aba9ba01e4bbd4ed28a8d683bc4b2","124"
"16","https://le.utah.gov/xcode/Title16/C16_1800010118000101.pdf","Title-16-C16_1800010118000101.pdf","1041236","a72d495278c82d9c61f7f4fcc978d036e11544a5dc4ed5575e7d2640cec98b68","Title-16-C16_1800010118000101.txt","1670620","aca89bf7d49e8b5481abbde2364f87b86fb1e4c2d940e2782c2062006a90877a","567"
"17","https://le.utah.gov/xcode/Title17/C17_1800010118000101.pdf","Title-17-C17_1800010118000101.pdf","829705","fa32d4681733d7a4f5d24ff82289c002db5be3f8c61900ba269391e87fb69cec","Title-17-C17_1800010118000101.txt","1276700","9bbdd57a8599c7c4eb00af899719a6a7d312e50e2accab5938be5856649d272f","436"
"17B","https://le.utah.gov/xcode/Title17B/C17B_1800010118000101.pdf","Title-17B-C17B_1800010118000101.pdf","434224","068086cbd14f7e2ff974ddc7b2a9370406c20225a505e29238db371b5b004e93","Title-17B-C17B_1800010118000101.txt","700229","e57ebd4a00bf80d5e17f24f554d2ae5b1c577dba1f6846a3a3c913fb189dda61","228"
"17C","https://le.utah.gov/xcode/Title17C/C17C_2016051020160510.pdf","Title-17C-C17C_2016051020160510.pdf","206801","28064075ac21983d4bdcc17bc166ab7e4746d510f9ac1b5ec81d2bf8d984aeba","Title-17C-C17C_2016051020160510.txt","323019","25945a60bc3162feabb56007842d6d1738a30c8e0a451bdba29fa9c114e9078d","109"
"17D","https://le.utah.gov/xcode/Title17D/C17D_1800010118000101.pdf","Title-17D-C17D_1800010118000101.pdf","137767","e93689b78fc6bafec7078f0544e9e95e40265b47f6571273f80d5c97717d55f9","Title-17D-C17D_1800010118000101.txt","214478","066baeb5f0a111a9518f06dcf576b0984c65bcd99040f98e175ea6f4f56662cd","72"
"17E","https://le.utah.gov/xcode/Title17E/C17E_2025110620251206.pdf","Title-17E-C17E_2025110620251206.pdf","26637","1b8f3764f6960d211bb30537a19222568f0fa29006983bd7c45e2ee282defed4","Title-17E-C17E_2025110620251206.txt","27878","840441998da34e281c18e382dd7038d13e38219a9c4d6a44b23ebe7b82c6e095","13"
"18","https://le.utah.gov/xcode/Title18/C18_1800010118000101.pdf","Title-18-C18_1800010118000101.pdf","13221","2c5c0d78b489a19e8d353a5dc3099b42a44dbc3e056bfbe2047b577f5d66f66a","Title-18-C18_1800010118000101.txt","12337","7e187c0048a02ab52a51a15f8d30fdde3ca71468dd4ae1d49a40a0be59e145ed","5"
"19","https://le.utah.gov/xcode/Title19/C19_1800010118000101.pdf","Title-19-C19_1800010118000101.pdf","612588","844493016fd97cd2dd43a7dfc695f10071c4368a41392a42a7dc6149f410e642","Title-19-C19_1800010118000101.txt","943413","3b6416d1553294829af89f355e52aaebed986a8c868cb26c42b183b69cab6823","310"
"20A","https://le.utah.gov/xcode/Title20A/C20A_1800010118000101.pdf","Title-20A-C20A_1800010118000101.pdf","994338","4c5bc6a3d309dbfd2ac62ef8f279ade4a603c5e0bdd30c2f7f701caea7209f76","Title-20A-C20A_1800010118000101.txt","1621778","8090f42cc9ed92686bb84fd5ac0c28d17a82db60da7bff9e768cf68052669596","528"
